Planet  |Scale    |Distance |Year     |Tilt     |Camera Dist|Has Moon|
Mercury |0.383    |0.387    |0.241    |0.01     |5.0        |false
Venus   |0.949    |0.723    |0.615    |177.4    |10.0       |false
Earth   |1        |1        |1        |23.4     |20.0	    |true
Mars    |0.532    |1.52     |1.88	  |25.2     |5.0	    |false
Jupiter |11.21    |5.2	    |11.9	  |3.1      |90.0	    |true
Saturn  |9.45     |9.58	    |29.4	  |26.7     |90.0       |true
Uranus  |4.01     |19.2     |83.7     |97.8	    |20.0       |false
Neptune |3.88     |30.05    |163.7    |28.3     |20.0	    |false
Pluto   |0.186    |39.48    |247.9    |122.5    |4.0        |true
